"""bundesland"",""bezirk"",""gemeinde"",""gem_id"",""gem_plz"",""city"",""ort_plz"",""bu_lat"",""bu_lon"",""be_lat"",""be_lon"",""g_lat"",""g_lon"",""lat"",""lon"""
"Burgenland,""Eisenstadt"",""Eisenstadt"",10101,7000,""Eisenstadt"",""7000"",47.4743,16.5791,47.845876,16.518073,47.845876,16.518073,47.845876,16.518073"
"Burgenland,""Eisenstadt"",""Eisenstadt"",10101,7000,""Kleinhöflein im Burgenland"",""7000"",47.4743,16.5791,47.845876,16.518073,47.845876,16.518073,47.839033,16.501413"
"Burgenland,""Eisenstadt"",""Eisenstadt"",10101,7000,""Sankt Georgen am Leithagebirge"",""7000"",47.4743,16.5791,47.845876,16.518073,47.845876,16.518073,47.855158,16.551547"
"Burgenland,""Eisenstadt"",""Rust"",10201,7071,""Rust"",""7071"",47.4743,16.5791,47.845876,16.518073,47.80058,16.672779,47.80058,16.672779"
"Burgenland,""Eisenstadt Umgebung"",""Breitenbrunn"",10301,7091,""Breitenbrunn"",""7091"",47.4743,16.5791,47.85458,16.576139,47.945573,16.73275,47.945573,16.73275"
"Burgenland,""Eisenstadt Umgebung"",""Donnerskirchen"",10302,7082,""Donnerskirchen"",""7082"",47.4743,16.5791,47.85458,16.576139,47.897633,16.641787,47.897633,16.641787"
"Burgenland,""Eisenstadt Umgebung"",""Großhöflein"",10303,7051,""Großhöflein"",""7051"",47.4743,16.5791,47.85458,16.576139,47.832194,16.481591,47.832194,16.481591"
"Burgenland,""Eisenstadt Umgebung"",""Hornstein"",10304,7053,""Hornstein"",""2491"",47.4743,16.5791,47.85458,16.576139,47.880727,16.4445,47.880727,16.4445"
"Burgenland,""Eisenstadt Umgebung"",""Hornstein"",10304,7053,""Hornstein"",""7053"",47.4743,16.5791,47.85458,16.576139,47.880727,16.4445,47.880727,16.4445"
"Burgenland,""Eisenstadt Umgebung"",""Hornstein"",10304,7053,""Vorištan"",""2491"",47.4743,16.5791,47.85458,16.576139,47.880727,16.4445,47.880727,16.4445"
