id,location,type,title,features,pool,sea view,garage
44525,golden mile,villa,"stunning 6 bedroom villa in the heart of the golden mile, marbella",none,0,0,0
44859,nagueles,villa,"villa for sale in rocio de nagüeles, marbella golden mile",none,0,0,0
45465,nagueles,villa,one level 5 bedroom villa for sale in nagüeles,none,0,0,0
50685,nagueles,unknown,large estate for sale in rocio de nagueles,none,0,0,0
130728,golden mile,villa,palatial villa on marbellas golden mile with panoramic sea views,"fireplace, elevator, terrace, mountain view, freight elevator, air conditioning, patio, guest toilet, garden, balcony, sea/lake view, built-in kitchen",0,0,0
130856,nagueles,plot,large plot with fantastic views in nagüeles,mountain view,0,0,0
130857,golden mile,penthouse,modern design penthouse on second line beach golden mile,"elevator, terrace, alarm system, mountain view, swimming pool, air conditioning, basement, sea/lake view",1,0,0
130897,golden mile,villa,spacious beachside villa casablanca marbella golden mile,"fireplace, elevator, terrace, alarm system, swimming pool, basement, guest toilet, built-in kitchen",1,0,0
130917,golden mile,villa,modern designer villa with stunning views golden mile,"fireplace, terrace, alarm system, mountain view, swimming pool, air conditioning, basement, patio, guest toilet, garden, sea/lake view, built-in kitchen",1,0,0
130978,nagueles,villa,beautiful villa at the top of nagüeles with panoramic views,"security system, fireplace, terrace, jacuzzi, air conditioning, swimming pool, basement, sauna, gym, guest toilet, sea/lake view, built-in kitchen",1,0,0
131009,nagueles,plot,great plot for apartment building nagüeles with sea views,"mountain view, sea/lake view",0,0,0
131037,golden mile,villa,luxurious villa in private gated community marbella golden mile,"fireplace, elevator, terrace, alarm system, accessible for wheelchairs, mountain view, jacuzzi, swimming pool, air conditioning, basement, sauna, guest toilet, balcony, sea/lake view, built-in kitchen",1,0,0
131058,golden mile,villa,villa in luxurious gated community marbella golden mile,"elevator, mountain view, swimming pool, air conditioning, garden, sea/lake view, built-in kitchen",1,0,0
131259,golden mile,penthouse,beachfront penthouse sea views las cañas marbella golden mile,"security system, elevator, terrace, mountain view, air conditioning, swimming pool, guest toilet, sea/lake view, built-in kitchen",1,0,0
131274,nagueles,duplex,duplex penthouse in nagüeles with panoramic views,"security system, terrace, mountain view, air conditioning, swimming pool, sea/lake view, built-in kitchen",1,0,0
131297,golden mile,villa,opportunity to buy beachfront villa under 1 million on the golden mile,"fireplace, terrace, swimming pool, garden, balcony, built-in kitchen",1,0,0
131403,golden mile,penthouse,beautiful penthouse in the heart of the marbella's golden mile at a good price,"fireplace, elevator, terrace, alarm system, swimming pool, air conditioning, guest toilet, built-in kitchen",1,0,0
131417,nagueles,villa,contemporary villa in nagüeles,"fireplace, alarm system, mountain view, air conditioning, guest toilet, built-in kitchen",0,0,0
131512,nagueles,villa,beautiful villa for sale in nagüeles marbella,"security system, fireplace, terrace, air conditioning, swimming pool, basement, garden, balcony, built-in kitchen",1,0,0
131589,nagueles,house,beautifully presented corner townhouse in el tomillar de nagüeles,"terrace, mountain view, jacuzzi, swimming pool, air conditioning, basement, patio, attic, garden, balcony, sea/lake view, built-in kitchen",1,0,0
131650,nagueles,house,great opportunity new townhouse in a top area of nagüeles,"fireplace, terrace, accessible for wheelchairs, mountain view, swimming pool, air conditioning, basement, patio, lake view, guest toilet, garden, balcony, built-in kitchen",1,0,0
131694,golden mile,apartment,exceptional beachfront apartment opportunity in port oasis golden mile,"terrace, swimming pool, air conditioning, built-in kitchen, senior oriented",1,0,0
131703,nagueles,apartment,beautiful corner apartment with private entrance in nagüeles,"fireplace, terrace, swimming pool, garden",1,0,0
131765,nagueles,house,townhouse at the best price in nagüeles,"fireplace, swimming pool, air conditioning, garden",1,0,0
131820,nagueles,house,charming townhouse in nagüeles,"fireplace, terrace, air conditioning, swimming pool, guest toilet, garden, sea/lake view, built-in kitchen",1,0,0
131878,nagueles,apartment,bright apartment with private garden in nagüeles,"fireplace, elevator, terrace, alarm system, swimming pool, air conditioning, garden, built-in kitchen",1,0,0
131958,golden mile,villa,modern villa frontline beach - golden mile,"fireplace, terrace, alarm system, swimming pool, air conditioning, guest toilet, waterfront, garden, sea/lake view, built-in kitchen",1,0,0
131977,golden mile,villa,magnificent villa - golden mile,"fireplace, alarm system, guest apartment, mountain view, jacuzzi, swimming pool, air conditioning, sauna, garden, balcony, built-in kitchen",1,0,0
132013,nagueles,villa,charming villa in nagüeles,"security system, fireplace, terrace, air conditioning, swimming pool, basement, guest toilet, garden, balcony, built-in kitchen",1,0,0
132037,golden mile,villa,small beachside villa in oasis club on the golden mile,"fireplace, terrace, swimming pool, garden, balcony, sea/lake view, built-in kitchen",1,0,0
132041,golden mile,villa,amazing beachside villa on the golden mile,"fireplace, alarm system, accessible for wheelchairs, guest apartment, swimming pool, air conditioning, basement, guest toilet, sea/lake view, built-in kitchen",1,0,0
132049,golden mile,villa,villa close to beach on the golden mile - prices for long term or short term on request,"fireplace, guest apartment, jacuzzi, basement, patio, built-in kitchen, sea/lake view, terrace, alarm system, mountain view, swimming pool, air conditioning, garden, balcony",1,0,0
132055,golden mile,villa,exclusive beachfront villa marbella golden mile,"fireplace, elevator, terrace, alarm system, mountain view, jacuzzi, swimming pool, air conditioning, basement, sauna, gym, guest toilet, waterfront, sea/lake view, built-in kitchen",1,0,0
132854,nagueles,unknown,large estate for sale in rocio de nagueles,"4 bedrooms
                                , 
                                    2 reception rooms
                                , 
                                    4 bathrooms
                                , 
                                    640 sqm
                                , 
                                    coastal
                                , 
                                    garden
                                , 
                                    swimming pool
                                , 
                                    terrace
                                , 
                                    private parking/garage
                                , 
                                    0.71 acres (0.29 hectares)",1,0,1
133646,nagueles,villa,"13 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 13, bathrooms: 12, floor size (m2): 672, plot size (m2): 4,085, work required: none, swimming pool, gite / additional accommodation, income, parking",1,0,0
133676,nagueles,villa,"8 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 8, bathrooms: 6, floor size (m2): 872, plot size (m2): 5,528, work required: minor, swimming pool, gite / additional accommodation, income, jacuzzi, garage, parking",1,0,1
133733,nagueles,villa,"5 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 5, bathrooms: 4, floor size (m2): 382, plot size (m2): 858, work required: none, swimming pool, infinity pool, garage",1,0,1
133780,nagueles,villa,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 6, floor size (m2): 338, plot size (m2): 2,500, work required: none, swimming pool, gite / additional accommodation, income, garage",1,0,1
