id,location,group,area,price,over-valued,under-valued,normal
44525,golden mile,houses,918.0,4400000,1,0,0
45465,nagueles,houses,393.0,1900000,1,0,0
130728,golden mile,houses,4903.0,32000000,1,0,0
130856,nagueles,plots,5528.0,2900000,0,0,1
130857,golden mile,apartments,530.0,3900000,0,0,1
130897,golden mile,houses,450.0,3148000,1,0,0
130917,golden mile,houses,845.0,2950000,0,0,1
130978,nagueles,houses,738.0,2400000,0,0,1
131009,nagueles,plots,2014.0,2169448,0,0,1
131037,golden mile,houses,603.0,1950000,0,0,1
131058,golden mile,houses,608.0,1850000,0,0,1
131259,golden mile,apartments,194.0,1150000,0,0,1
131274,nagueles,apartments,335.0,1100000,1,0,0
131297,golden mile,houses,127.0,995000,1,0,0
131403,golden mile,apartments,367.0,790000,0,1,0
131417,nagueles,houses,249.0,765000,1,0,0
131512,nagueles,houses,397.0,585000,0,1,0
131589,nagueles,houses,304.0,550000,0,1,0
131650,nagueles,houses,168.7,460000,0,0,1
131694,golden mile,apartments,77.0,415000,0,0,1
131703,nagueles,apartments,157.0,400000,0,1,0
131765,nagueles,houses,174.0,350000,0,1,0
131820,nagueles,houses,192.0,288750,0,1,0
131878,nagueles,apartments,130.0,260000,0,1,0
131958,golden mile,houses,450.0,0,0,1,0
131977,golden mile,houses,1890.0,0,0,1,0
132013,nagueles,houses,435.0,0,0,1,0
132037,golden mile,houses,127.0,0,0,1,0
132041,golden mile,houses,380.0,0,0,1,0
132049,golden mile,houses,1300.0,0,0,1,0
132055,golden mile,houses,3900.0,0,0,1,0
133646,nagueles,houses,672.0,4500000,0,0,1
133676,nagueles,houses,872.0,2900000,0,0,1
133733,nagueles,houses,382.0,2995000,0,0,1
133780,nagueles,houses,338.0,2580000,1,0,0
133794,nagueles,houses,450.0,2500000,1,0,0
133831,golden mile,apartments,199.0,2300000,1,0,0
133908,nagueles,houses,340.0,1790000,1,0,0
133938,nagueles,houses,434.0,1595000,0,0,1
133960,nagueles,houses,527.0,1495000,0,0,1
133961,golden mile,apartments,128.0,1350000,1,0,0
134014,golden mile,apartments,183.0,1300000,1,0,0
134023,nagueles,houses,233.0,1275000,1,0,0
134051,golden mile,apartments,172.0,1200000,1,0,0
134086,golden mile,apartments,157.0,999000,0,0,1
134101,nagueles,houses,133.0,799000,1,0,0
134124,golden mile,apartments,163.0,980000,0,0,1
134252,nagueles,houses,159.0,765000,1,0,0
134273,nagueles,houses,284.0,725000,0,0,1
134363,nagueles,houses,168.0,595000,1,0,0
