"store","item","longitude","year","month","day","weekday","qty","date"
"58","374",-0.958806,2019,4,12,"Freitag",32,"2019-04-12"
"58","352",-0.958806,2019,4,12,"Freitag",58,"2019-04-12"
"58","354",-0.958806,2019,4,12,"Freitag",30,"2019-04-12"
"58","348",-0.958806,2019,4,12,"Freitag",54,"2019-04-12"
"58","349",-0.958806,2019,4,12,"Freitag",37,"2019-04-12"
"58","355",-0.958806,2019,4,12,"Freitag",50,"2019-04-12"
"58","347",-0.958806,2019,4,12,"Freitag",43,"2019-04-12"
"58","351",-0.958806,2019,4,12,"Freitag",51,"2019-04-12"
"58","346",-0.958806,2019,4,12,"Freitag",64,"2019-04-12"
"58","434",-0.958806,2019,4,12,"Freitag",30,"2019-04-12"
"58","374",-0.958806,2019,4,14,"Sonntag",49,"2019-04-14"
"58","352",-0.958806,2019,4,14,"Sonntag",98,"2019-04-14"
"58","354",-0.958806,2019,4,14,"Sonntag",49,"2019-04-14"
"58","348",-0.958806,2019,4,14,"Sonntag",94,"2019-04-14"
"58","349",-0.958806,2019,4,14,"Sonntag",51,"2019-04-14"
"58","355",-0.958806,2019,4,14,"Sonntag",62,"2019-04-14"
"58","347",-0.958806,2019,4,14,"Sonntag",68,"2019-04-14"
"58","351",-0.958806,2019,4,14,"Sonntag",82,"2019-04-14"
"58","346",-0.958806,2019,4,14,"Sonntag",122,"2019-04-14"
"58","434",-0.958806,2019,4,14,"Sonntag",58,"2019-04-14"
"58","374",-0.958806,2019,4,15,"Montag",46,"2019-04-15"
"58","352",-0.958806,2019,4,15,"Montag",79,"2019-04-15"
"58","354",-0.958806,2019,4,15,"Montag",46,"2019-04-15"
"58","348",-0.958806,2019,4,15,"Montag",82,"2019-04-15"
"58","349",-0.958806,2019,4,15,"Montag",48,"2019-04-15"
"58","355",-0.958806,2019,4,15,"Montag",57,"2019-04-15"
"58","347",-0.958806,2019,4,15,"Montag",57,"2019-04-15"
"58","351",-0.958806,2019,4,15,"Montag",65,"2019-04-15"
"58","346",-0.958806,2019,4,15,"Montag",105,"2019-04-15"
"58","434",-0.958806,2019,4,15,"Montag",48,"2019-04-15"
