"var004","var031","var145","var189","target","var005","var008","var009","var024","var044","var045","var072","var074","var125","var130","var170","var175","var178","target"
"b","1","1","0",-1.05,9.29,-0.392,-3.17,5.64,12.9,3.35,0.418,26.2,7.29,-1.44,17.7,-3.04,-6.21,-1.05
"b","1","1","0",-0.654,9.26,0.632,-3.57,5.64,16.1,5.9,9.03,-1.31,7.51,-1.16,13.9,-3.02,-5.43,-0.654
"b","0","0","0",-0.763,9.21,0.738,-0.47,5.62,2.67,1.98,5.41,17.2,7.71,-0.837,8.41,-2.93,-7.31,-0.763
"b","0","0","1",-0.0718,9.15,2.04,-2.5,5.56,13,9.86,3.01,-0.297,7.89,-0.508,17.7,-2.77,-7.37,-0.0718
"b","0","1","0",-0.689,9.09,-0.0666,-0.26,5.46,1.99,9.46,3.58,-5.91,8.04,-0.199,14.8,-2.55,-6.19,-0.689
"b","0","1","1",-0.764,9.02,1.71,0.364,5.33,12.3,10.8,8.17,11.5,8.13,0.0558,13.2,-2.3,-6.97,-0.764
"b","1","1","0",0.372,8.97,0.0617,-7.25,5.18,1.09,13.9,12.7,9.5,8.16,0.221,21.9,-2.06,-5.74,0.372
"c","0","0","0",-0.381,8.92,1.34,-1.06,5.03,6.85,6.36,14.1,0.135,8.14,0.272,22.3,-1.89,-7.17,-0.381
"c","1","1","0",0.24,8.89,0.324,-2.61,4.87,5.65,11.1,7.06,-3.77,8.05,0.198,6.82,-1.82,-6.67,0.24
"c","1","1","0",-1.05,8.88,2.74,1.49,4.73,24.7,7.92,9.57,22.3,7.92,0.00444,7.27,-1.87,-8.54,-1.05
"b","1","1","0",0.624,8.88,2.2,-2.32,4.62,-7.07,13.4,12.6,14.8,7.77,-0.296,13.8,-2.04,-5.81,0.624
"b","1","1","0",-2.04,8.89,0.392,1.94,4.53,15.8,4.6,8.11,1.87,7.6,-0.683,9.86,-2.31,-6.99,-2.04
"b","0","1","0",-1.34,8.91,-0.475,-1.36,4.49,13.9,11.5,5.11,7.4,7.45,-1.13,10.8,-2.64,-8.54,-1.34
"b","1","0","0",0.986,8.93,2.09,-1.78,4.48,-2.01,11.7,1.11,4.92,7.32,-1.61,22.1,-2.98,-6.76,0.986
"b","0","1","0",-0.856,8.95,-0.0497,-5.78,4.51,24.2,7.17,5.39,-4.01,7.24,-2.09,18,-3.27,-6.28,-0.856
