German,English
verdeutlichen,"to make clear, explain"
folgern aus (etwas),"deduce, infer, argue from"
definieren,to define
behandeln,to treat
vergleichen,to compare
begründen,"to give reason, to account for something"
erläutern,"to explain, clarify, illustrate"
durch ein Beispiel erläutern,to illustrate with an example
zusammenfassen,to summarize
auswerten,"to evaluate, analyze"
berichten (über),to report on
ein Beispiel anführen,to give an example
informieren über,"to inform, provide information about"
darstellen,"to depict, describe, illustrate, demonstrate"
erörtern,"to discuss, argue (put an argument in place)"
sich befassen mit,"to concern oneself, deal with"
ausgehen von,to assume; to emanate or start from
basieren auf (DAT),to be based on
sich beschäftigen mit,to occupy oneself with
beruhen auf (DAT),"to be based upon, to rest upon"
bestehen aus,to consist of
sich beziehen auf (AKK),"to correspond to, relate to"
eingehen auf (AKK),to go into detail (on something)
einordnen in (AKK),"to classify, categorise"
einteilen in (AKK),"to divide into, separate into"
gleichsetzen mit,"to equate, equalize"
gründen auf (DAT),"to be based, predicated on (grounded on)"
sich um etwas handeln,to be about something
hervorgehen aus,to emerge or arise from something
sich gegen etwas richten,"to direct towards (Kritik, zB)"
sich stützen auf (AKK),"to be based on, to get support from"
verweisen auf (AKK),"(1) to point out, refer (2) expel, send away"
verzichten auf (AKK),"to pass on something, forgo"
zutreffen auf (AKK),to apply to something
sich herausbilden,"to develop, to form"
sich finden,"to find each other, oneself"
sich widmen,to dedicate onself
anwenden,"to apply, to use"
auflisten,to list
aufweisen,"to show, have, to possess, manifest"
bestimmen,"to discern, identify"
betrachten,"to consider, examine"
darlegen,to lay out (demonstrate)
deuten,to interpret
problematisieren,to problematize
skizzieren,"to outline, to sketch"
thematisieren,to broach the central issue of something
umfassen,to encompass
auffassen als,to perceive something as something
festhalten,to put something on the record
hervorheben,"to emphasize, to distinguish"
im Mittelpunkt stehen,to take center stage (stand in the middle)
nachgehen,"to pursue, to trace"
zuordnen,"to put in the right place, correlate, assign something to something"
festlegen,to determine
besagen,"to say (mean), to indicate, to  signifiy"
bezweifeln,to doubt
verbieten,to forbid
untersagen,to forbid
ablehnen,to reject
fehlen,"to lack, need, require"
leugnen,"to deny, repudiate (strong)"
verneinen,"to negate, to say no"
